RecordId,Probability(yes),PredictedLabel
0,0.08310888169247935,0
1,0.024115634148305642,0
2,0.018073450614636163,0
3,0.02444464564229466,0
4,0.018269364488279566,0
5,0.1262467772090647,0
6,0.018860519683676382,0
7,0.0061752604833680315,0
8,0.01224364557804444,0
9,0.009801014548602334,0
10,0.14441432489221245,0
11,0.2342140921601965,0
12,0.445533662280286,0
13,0.12376621491451995,0
14,0.02507291709092754,0
15,0.012269128097255591,0
16,0.010876601814857056,0
17,0.01692105127323264,0
18,0.014180632807657415,0
19,0.3284778784513045,0
20,0.6838318891192325,1
21,0.026294832883638774,0
22,0.02858834279520742,0
23,0.01320760077401174,0
24,0.015769427000511857,0
25,0.07782560388112121,0
26,0.0221994367639284,0
27,0.012212689597999243,0
28,0.01760546176999608,0
29,0.0069094947482132695,0
30,0.1356691642248644,0
31,0.2636113771499011,0
32,0.8199273411032572,1
33,0.34102575311866284,0
34,0.24826952912815356,0
35,0.009624927205877177,0
36,0.040137859734288545,0
37,0.01747032198651104,0
38,0.014586609704512365,0
39,0.0196166220051747,0
40,0.006722319425884267,0
41,0.03126998093755589,0
42,0.6711197822807844,1
43,0.01177824652526202,0
44,0.568597729212094,1
45,0.09494517506983761,0
46,0.029932271377525264,0
47,0.021517550001021294,0
48,0.009851888956747138,0
49,0.007181045362640272,0
50,0.544462876549379,1
51,0.5296860405098712,1
52,0.020563051456960614,0
53,0.31855923552373866,0
54,0.09312004102041377,0
55,0.04026275380992735,0
56,0.03789248912161654,0
57,0.014754817841536918,0
58,0.784159611895017,1
59,0.05621420470954081,0
60,0.1237300679817598,0
61,0.02186138050445189,0
62,0.016209948752203607,0
63,0.02132971036873173,0
64,0.5675834170422787,1
65,0.023242378924797084,0
66,0.5520010576582157,1
67,0.00932160550315222,0
68,0.2478943312628045,0
69,0.38747304172947034,0
70,0.007269233359210674,0
71,0.25446989408244086,0
72,0.04605838558081698,0
73,0.032756129198517,0
74,0.011656752503657688,0
75,0.02798661383821424,0
76,0.11005590980983075,0
77,0.012001256025214993,0
78,0.1050065309387336,0
79,0.03871103796172404,0
80,0.17819382914213516,0
81,0.016534397544569066,0
82,0.04084004784748353,0
83,0.026458417020090476,0
84,0.018815239735621672,0
85,0.11845068868376037,0
86,0.03672534703870716,0
87,0.10849644072135589,0
88,0.03592560040521384,0
89,0.007474328474481734,0
90,0.009868431629447455,0
91,0.5901717356134162,1
92,0.027645171882570957,0
93,0.02055434852075912,0
94,0.10793818145408994,0
95,0.009420160665258368,0
96,0.16215357050054272,0
97,0.0230586296289551,0
98,0.00814135892012196,0
99,0.00893889657963416,0
100,0.23596861778215805,0
101,0.3070001261617343,0
102,0.14312944658765675,0
103,0.012888200807741793,0
104,0.031773780475076736,0
105,0.028439537391564938,0
106,0.39711312807430005,0
107,0.05582683922056676,0
108,0.032511975385476385,0
109,0.04668254589849205,0
110,0.04800218569450712,0
111,0.017322427084497466,0
112,0.006970155299298938,0
113,0.022545970994012857,0
114,0.014445631501467516,0
115,0.010339009420673615,0
116,0.05988409755720792,0
117,0.02832081343692822,0
118,0.002496191328599047,0
119,0.08233152346058721,0
120,0.009424121276886792,0
121,0.010852259131170326,0
122,0.013595518963331037,0
123,0.022519199330655645,0
124,0.010931829410456388,0
125,0.019842245430395016,0
126,0.153687948828067,0
127,0.09611662785609279,0
128,0.14669440293595354,0
129,0.00851700039644224,0
130,0.1230644836396244,0
131,0.039621259616801366,0
132,0.012582503873633482,0
133,0.011252454850269768,0
134,0.00925329504090717,0
135,0.016568938421470985,0
136,0.19015302745148124,0
137,0.6079225516862744,1
138,0.13041836368510193,0
139,0.11705664439114771,0
140,0.021074647579875178,0
141,0.01028394955006368,0
142,0.01222350977975351,0
143,0.0085121126992502,0
144,0.014276961001158706,0
145,0.01236542466942117,0
146,0.09154606443185855,0
147,0.017248219249179235,0
148,0.008643426355938896,0
149,0.010840976138853096,0
150,0.2422025241580227,0
151,0.04153279339655785,0
152,0.021576834754820542,0
153,0.019442400778723477,0
154,0.004999149075314826,0
155,0.01099886035469453,0
156,0.20133313407345207,0
157,0.027565158509304622,0
158,0.019168233789687655,0
159,0.05758618899423735,0
160,0.14922470538354393,0
161,0.030072285384517373,0
162,0.5305734481378098,1
163,0.022311692886142737,0
164,0.042125383831661006,0
165,0.03505308168244072,0
166,0.4096899812023401,0
167,0.05856380983929977,0
168,0.6758043238893173,1
169,0.7218233835143093,1
170,0.6004298065847833,1
171,0.39816164110732516,0
172,0.019269036464347362,0
173,0.02422801678020602,0
174,0.5799221348829944,1
175,0.017356150876857667,0
176,0.028043623682653604,0
177,0.012723250251685003,0
178,0.11631804047977556,0
179,0.017436226198041298,0
180,0.029075352439419434,0
181,0.017592962473040312,0
182,0.029137793180650247,0
183,0.030261668626571585,0
184,0.02069867671680455,0
185,0.774239248384714,1
186,0.030978628973934077,0
187,0.015028316278879681,0
188,0.009798362763702525,0
189,0.8625663100488957,1
190,0.2533117796401265,0
191,0.04225769783013844,0
192,0.1222437308176938,0
193,0.9986656098714726,1
194,0.0674391167505122,0
195,0.005459037318781221,0
196,0.07202538831078517,0
197,0.018764755608864384,0
198,0.012354433422166083,0
199,0.008742639787074472,0
200,0.01626538642003058,0
201,0.08860965050635103,0
202,0.10199203516825765,0
203,0.03642701348536917,0
204,0.013906670815550299,0
205,0.00484510751125481,0
206,0.09369867394171293,0
207,0.0035478997116989027,0
208,0.00995360775107761,0
209,0.011081033639641259,0
210,0.01415157238638823,0
211,0.018124405767178726,0
212,0.02710135071127907,0
213,0.8042819355783799,1
214,0.18214964793911165,0
215,0.8652566722450318,1
216,0.018554178516499112,0
217,0.182814885576623,0
218,0.0056138317924100765,0
219,0.025166505336335666,0
220,0.022047260649055486,0
221,0.014137166345162641,0
222,0.02318108335140064,0
223,0.8902959513751946,1
224,0.013120957579363527,0
225,0.047404169767200695,0
226,0.010064222294062827,0
227,0.05916058165457628,0
228,0.016110371321350042,0
229,0.12181845487817845,0
230,0.016212446894191518,0
231,0.009327167554780998,0
232,0.021144837752904773,0
233,0.10577158049834878,0
234,0.25603791722168756,0
235,0.02515089040403401,0
236,0.08588153529681958,0
237,0.5810466706621226,1
238,0.0379099297360016,0
239,0.009080809808676076,0
240,0.991129487732651,1
241,0.057978746876366595,0
